visiting_team,home_team,month,home_wins
Atlanta Hawks,Houston Rockets,Dec,no
Milwaukee Bucks,Los Angeles Clippers,Dec,yes
Portland Trail Blazers,New Orleans Pelicans,Dec,no
Phoenix Suns,New York Knicks,Dec,no
Detroit Pistons,Brooklyn Nets,Dec,yes
Memphis Grizzlies,Cleveland Cavaliers,Dec,yes
Boston Celtics,Miami Heat,Dec,yes
Indiana Pacers,Minnesota Timberwolves,Dec,no
New Orleans Pelicans,Oklahoma City Thunder,Dec,no
Philadelphia 76ers,Orlando Magic,Dec,no
Los Angeles Lakers,Sacramento Kings,Dec,yes
New York Knicks,Toronto Raptors,Dec,yes
Phoenix Suns,Washington Wizards,Dec,no
Toronto Raptors,Chicago Bulls,Dec,yes
Denver Nuggets,Charlotte Hornets,Dec,yes
Atlanta Hawks,Dallas Mavericks,Dec,no
Sacramento Kings,Golden State Warriors,Dec,yes
Portland Trail Blazers,Houston Rockets,Dec,yes
Utah Jazz,Memphis Grizzlies,Dec,no
Los Angeles Clippers,San Antonio Spurs,Dec,yes
Los Angeles Clippers,Atlanta Hawks,Dec,yes
Denver Nuggets,Brooklyn Nets,Dec,yes
Minnesota Timberwolves,Cleveland Cavaliers,Dec,yes
New Orleans Pelicans,Indiana Pacers,Dec,yes
Golden State Warriors,Los Angeles Lakers,Dec,yes
Philadelphia 76ers,Miami Heat,Dec,no
Charlotte Hornets,Milwaukee Bucks,Dec,no
Portland Trail Blazers,Oklahoma City Thunder,Dec,no
Boston Celtics,Orlando Magic,Dec,yes
Dallas Mavericks,Phoenix Suns,Dec,yes
Chicago Bulls,Washington Wizards,Dec,no
Los Angeles Lakers,Chicago Bulls,Dec,yes
Golden State Warriors,Los Angeles Clippers,Dec,yes
Cleveland Cavaliers,Miami Heat,Dec,yes
Washington Wizards,New York Knicks,Dec,no
Oklahoma City Thunder,San Antonio Spurs,Dec,no
Milwaukee Bucks,Atlanta Hawks,Dec,no
Brooklyn Nets,Boston Celtics,Dec,no
Los Angeles Lakers,Dallas Mavericks,Dec,yes
Minnesota Timberwolves,Denver Nuggets,Dec,yes
Indiana Pacers,Detroit Pistons,Dec,yes
Houston Rockets,Memphis Grizzlies,Dec,no
San Antonio Spurs,New Orleans Pelicans,Dec,yes
Charlotte Hornets,Oklahoma City Thunder,Dec,yes
Cleveland Cavaliers,Orlando Magic,Dec,no
Philadelphia 76ers,Portland Trail Blazers,Dec,yes
Phoenix Suns,Sacramento Kings,Dec,no
Indiana Pacers,Brooklyn Nets,Dec,no
New Orleans Pelicans,Chicago Bulls,Dec,yes
Orlando Magic,Charlotte Hornets,Dec,no
Minnesota Timberwolves,Golden State Warriors,Dec,yes
Toronto Raptors,Los Angeles Clippers,Dec,no
Memphis Grizzlies,Miami Heat,Dec,no
Atlanta Hawks,Milwaukee Bucks,Dec,no
New York Knicks,Sacramento Kings,Dec,yes
Philadelphia 76ers,Utah Jazz,Dec,yes
Boston Celtics,Washington Wizards,Dec,yes
Detroit Pistons,Cleveland Cavaliers,Dec,no
Oklahoma City Thunder,Dallas Mavericks,Dec,yes
Toronto Raptors,Denver Nuggets,Dec,no
Phoenix Suns,Los Angeles Lakers,Dec,no
New York Knicks,Portland Trail Blazers,Dec,yes
Houston Rockets,San Antonio Spurs,Dec,yes
Sacramento Kings,Brooklyn Nets,Dec,yes
Milwaukee Bucks,Charlotte Hornets,Dec,no
Washington Wizards,Houston Rockets,Dec,no
Chicago Bulls,Indiana Pacers,Dec,no
Utah Jazz,Los Angeles Clippers,Dec,yes
Orlando Magic,Miami Heat,Dec,no
Cleveland Cavaliers,Atlanta Hawks,Dec,yes
Brooklyn Nets,Chicago Bulls,Dec,no
Washington Wizards,Dallas Mavericks,Dec,yes
Los Angeles Lakers,Denver Nuggets,Dec,no
Philadelphia 76ers,Golden State Warriors,Dec,yes
San Antonio Spurs,Memphis Grizzlies,Dec,yes
Phoenix Suns,New Orleans Pelicans,Dec,yes
Detroit Pistons,Orlando Magic,Dec,no
Toronto Raptors,Portland Trail Blazers,Dec,yes
Minnesota Timberwolves,Utah Jazz,Dec,yes
Sacramento Kings,Boston Celtics,Dec,yes
Milwaukee Bucks,Cleveland Cavaliers,Dec,no
Charlotte Hornets,Houston Rockets,Dec,yes
Miami Heat,Indiana Pacers,Dec,yes
New York Knicks,Los Angeles Clippers,Dec,yes
Phoenix Suns,Oklahoma City Thunder,Dec,yes
New Orleans Pelicans,San Antonio Spurs,Dec,yes
Denver Nuggets,Chicago Bulls,Jan,yes
Sacramento Kings,Minnesota Timberwolves,Jan,no
Dallas Mavericks,Boston Celtics,Jan,no
Cleveland Cavaliers,Charlotte Hornets,Jan,no
Toronto Raptors,Golden State Warriors,Jan,yes
Memphis Grizzlies,Los Angeles Lakers,Jan,no
Indiana Pacers,Milwaukee Bucks,Jan,no
Houston Rockets,New Orleans Pelicans,Jan,yes
Detroit Pistons,New York Knicks,Jan,no
Washington Wizards,Oklahoma City Thunder,Jan,yes
Brooklyn Nets,Orlando Magic,Jan,no
Philadelphia 76ers,Phoenix Suns,Jan,yes
Atlanta Hawks,Utah Jazz,Jan,no
Boston Celtics,Chicago Bulls,Jan,yes
Memphis Grizzlies,Denver Nuggets,Jan,yes
Miami Heat,Houston Rockets,Jan,yes
Philadelphia 76ers,Los Angeles Clippers,Jan,yes
Utah Jazz,Minnesota Timberwolves,Jan,no
Charlotte Hornets,Orlando Magic,Jan,no
Atlanta Hawks,Portland Trail Blazers,Jan,no
Washington Wizards,San Antonio Spurs,Jan,yes
Dallas Mavericks,Cleveland Cavaliers,Jan,no
Sacramento Kings,Detroit Pistons,Jan,yes
Indiana Pacers,Los Angeles Lakers,Jan,yes
Brooklyn Nets,Miami Heat,Jan,yes
Milwaukee Bucks,New York Knicks,Jan,no
Toronto Raptors,Phoenix Suns,Jan,yes
Charlotte Hornets,Boston Celtics,Jan,no
Dallas Mavericks,Brooklyn Nets,Jan,no
Houston Rockets,Chicago Bulls,Jan,yes
Oklahoma City Thunder,Golden State Warriors,Jan,yes
Atlanta Hawks,Los Angeles Clippers,Jan,no
New York Knicks,Memphis Grizzlies,Jan,yes
Denver Nuggets,Minnesota Timberwolves,Jan,no
Washington Wizards,New Orleans Pelicans,Jan,no
Cleveland Cavaliers,Philadelphia 76ers,Jan,yes
Los Angeles Lakers,Portland Trail Blazers,Jan,yes
Indiana Pacers,Utah Jazz,Jan,no
Phoenix Suns,Milwaukee Bucks,Jan,no
Detroit Pistons,San Antonio Spurs,Jan,no
Memphis Grizzlies,Atlanta Hawks,Jan,yes
Boston Celtics,Brooklyn Nets,Jan,no
Utah Jazz,Chicago Bulls,Jan,no
New Orleans Pelicans,Charlotte Hornets,Jan,yes
Houston Rockets,Cleveland Cavaliers,Jan,no
Detroit Pistons,Dallas Mavericks,Jan,no
Orlando Magic,Denver Nuggets,Jan,yes
Indiana Pacers,Golden State Warriors,Jan,yes
Los Angeles Lakers,Los Angeles Clippers,Jan,yes
Phoenix Suns,Minnesota Timberwolves,Jan,no
Milwaukee Bucks,Philadelphia 76ers,Jan,no
Oklahoma City Thunder,Sacramento Kings,Jan,yes
New York Knicks,Washington Wizards,Jan,yes
Houston Rockets,New York Knicks,Jan,no
Miami Heat,Portland Trail Blazers,Jan,yes
Charlotte Hornets,Toronto Raptors,Jan,no
Philadelphia 76ers,Brooklyn Nets,Jan,no
Atlanta Hawks,Detroit Pistons,Jan,no
Cleveland Cavaliers,Golden State Warriors,Jan,yes
